transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T2225,U028,06-07-2023,Expense,Education,8204,CRD,,!!!
T6946,U068,06/23/2024,Expense,EDU,Rs.5756,UPI,HYDERABAD,xyz123
T2022,U056,12/20/2021,Expense,food,₹5576,BankTransfer,DEL,Medicine
T13529,U123,05-11-2021,Expense,health,9771,Bank_Transfer,Pune,Petrol
T12210,U118,25-01-2022,Expense,Rentt,20509,Bank Transfr,bangalore,Train ticket
T6904,U063,13-09-2024,Income,Bonus,62193,Upi,CHE,Electricity bill
T0713,U055,22-08-2023,Expense,Utility,3367,Bank_Transfer,Ahmedabad,Monthly rent payment
T7323,U009,13-05-2024,Expense,health,2721,Upi,BANGALORE,EMI payment
T10231,U089,02/13/2023,Expense,rent,2962,Upi,ahmedabad,Books
T11570,U052,23-09-2022,Expense,travel,8283,card,AHMEDABAD,...
T13926,U134,16-09-2024,Expense,Utilities,3520,csh,MUMBAI,test
T0884,U115,04-07-2024,Expense,Travel,5524,Bank Transfer,Hyderabad,Fixed deposit
T5033,U119,18-12-2021,Expense,Traval,₹999999,upi,pune,Lunch
T8492,U101,11/14/2024,Expense,Entertainment,1800,Bank Transfer,ahmedabad,Internet bill
T4699,U090,08-07-2023,Income,Investment,₹32146,CASH,Delhi,ATM withdrawal
T1841,U097,03-10-2021,Income,Others,57173,Cash,,
T3041,U018,11-07-2021,Expense,Rnt,2966,Cash,bangalore,EMI payment
T7693,U116,31-08-2024,Expense,Entertain,1004,Bank Transfer,KOLKATA,
T0071,U078,26-04-2024,Expense,Rnt,₹6141,csh,Pune,
T12197,U026,04/18/2022,Expense,Travel,9154,Crd,DELHI,...
T8563,U080,12/29/2024,Expense,travel,Rs.9705,CASH,,misc
T6626,U049,14-08-2022,Expense,Food,2637,Cash,jaipur,Fixed deposit
T7302,U102,09/19/2024,Expense,FOOD,1073,CRD,lucknow,
T6588,U125,,Expense,Foods,425,BankTransfer,JAI,Petrol
T3552,U095,21-01-2024,Income,Bonus,34145,Bank Transfer,HYDERABAD,!!!
T1620,U040,08/30/2024,Expense,Utilties,527,Cash,MUM,
T7912,U115,06/15/2022,Expense,Saving,5195,UPi,LUC,Grocery shopping
T3571,U064,05-10-2024,Expense,Entrtnmnt,3143,Upi,CHENNAI,Books
T10957,U081,08-06-2023,Expense,travel,2135,CASH,Lucknow,Medicine
T0294,U080,25-12-2024,Expense,Foodd,2163,Upi,mumbai,Doctor consultation
T9414,U149,06-09-2024,Expense,Rentt,42078,UPI,Kolkata,
T10537,U079,08-01-2023,Expense,Foods,2778,UPi,Ahmedabad,...
T1125,U105,22-11-2024,Expense,HEALTH,3929,CRD,,Shopping
T8978,U103,05-10-2024,Income,Freelance,23852,Crd,LUC,Coffee
T5936,U022,13-06-2021,Expense,,₹6856,,Chennai,Shopping
T3751,U103,31-05-2024,Income,Bonus,49639,,hyderabad,Online course
T0626,U122,19-08-2024,Expense,education,3150,BankTransfer,CHE,Coffee
T9500,U090,07-06-2022,Expense,Helth,9408,cash,hyderabad,Electricity bill
T1537,U056,06/25/2022,Expense,Entertain,4114,Upi,Delhi,Fixed deposit
T9185,U117,12-12-2022,Income,Bonus,Rs.14249,Bank Transfr,LUCKNOW,
T7093,U096,29-03-2023,Expense,TRAVEL,9681,Upi,delhi,Online course
T1990,U121,29-03-2022,Expense,travel,3011,CRD,Kolkata,Grocery shopping
T4706,U150,06/13/2024,Expense,health,3150,UPi,Jaipur,N/A
T8416,U133,05-05-2023,Income,Bonus,32789,csh,bangalore,Lunch
T11932,U100,10-02-2023,Expense,Utility,6704,UPI,MUM,Doctor consultation
T4683,U062,27-08-2022,Expense,Travel,Rs.4427,Card,Chennai,Gym membership
T10528,U071,27-11-2021,Expense,entertainment,3121,Bank_Transfer,PUNE,Grocery shopping
T10806,U149,05/19/2024,Expense,FOOD,3802,Upi,Jaipur,Petrol
T10505,U099,03-06-2021,Expense,Education,544,upi,Ahmedabad,Lunch
T13682,U145,03-09-2023,Expense,Travel,9053,,LUCKNOW,...
T12807,U029,05-06-2021,Income,Freelance,32381,Bank Transfer,chennai,...
T6557,U007,28-01-2023,Expense,Travel,Rs.8305,UPi,pune,test
T0409,U137,08-02-2021,Expense,Utility,8841,,mumbai,
T10784,U022,04/30/2021,Income,Investment,46219,CRD,Lucknow,N/A
T2457,U054,03-10-2021,Expense,Traval,9800 INR,Cash,Mumbai,misc
T12395,U062,04-10-2021,Expense,Utilties,4451,Bank Transfer,MUMBAI,...
T1882,U101,09/25/2022,Expense,Education,9358,CRD,mumbai,
T13924,U035,08/24/2021,Expense,RENT,3569,cash,jaipur,Online course
T13453,U110,05-11-2024,Expense,Rnt,2979,cash,HYD,Medicine
T9836,U058,11-09-2024,Expense,Travel,$1863,Bank_Transfer,hyderabad,Lunch
T13845,U066,06/24/2022,Expense,Rent,34984,UPi,chennai,Petrol
T11381,U107,05-12-2024,Income,Investment,44031,Bank Transfr,HYD,Online course
T5758,U049,08-04-2023,Expense,Rentt,₹21771,upi,chennai,
T12059,U077,12-11-2021,Income,Salary,$24920,upi,chennai,Online course
T8889,U131,01-07-2021,Expense,SAVINGS,8861,Bank Transfr,PUNE,...
T10327,U136,25-05-2022,Expense,health,₹4201,Bank_Transfer,KOL,Online course
T4967,U113,17-02-2022,Expense,Rentt,47473,BankTransfer,hyderabad,Online course
T11849,U040,12-06-2021,Income,Investment,75822,csh,Mumbai,Medicine
T5167,U014,10/26/2021,Expense,food,677,Bank_Transfer,MUMBAI,Medicine
T3952,U120,08/26/2024,Expense,Rent,43252,csh,delhi,test
T5844,U086,24-04-2021,Expense,Food,₹2615,CRD,Lucknow,ATM withdrawal
T13040,U009,06-04-2024,Expense,Foods,₹2855,UPI,BAN,misc
T3167,U145,28-11-2021,Income,Bonus,57358,cash,Delhi,!!!
T8867,U105,11/14/2022,Expense,,6348,CRD,mumbai,Medicine
T5926,U016,13-07-2024,Expense,RENT,4583,Bank_Transfer,,Lunch
T13662,U129,10/18/2021,Expense,Misc,4952,cash,HYDERABAD,ATM withdrawal
T13593,U018,03-11-2024,Expense,others,3941,bank transfer,MUMBAI,Lunch
T12216,U116,21-04-2023,Income,Others,47262,BankTransfer,KOL,
T8335,U001,19-06-2021,Expense,Entertain,1998,upi,Lucknow,Internet bill
T4933,U018,03/17/2021,Expense,food,₹8124,,PUNE,Coffee
T7036,U105,01-12-2021,Expense,Travel,1326,Card,,asdfgh
T9072,U066,09/26/2024,Expense,savings,₹4328,Upi,MUMBAI,Medicine
T8270,U081,04-04-2023,Expense,Foodd,276,Bank_Transfer,Pune,Restaurant dinner
T12265,U094,02-04-2022,Expense,Utlities,₹4215,Crd,hyderabad,ATM withdrawal
T4637,U005,11-04-2023,Expense,Utlities,₹6316,UPi,PUN,ATM withdrawal
T9022,U089,10-03-2024,Expense,Rentt,21376,UPI,CHE,test
T7016,U145,09-01-2021,Expense,Utility,7391,cash,hyderabad,Uber ride
T12109,U144,05/31/2023,Expense,Travel,2990,upi,MUM,Train ticket
T9952,U045,24-12-2022,Expense,Utility,2230,,delhi,ATM withdrawal
T13401,U064,17-09-2021,Expense,Fod,6197,upi,N/A,xyz123
T11100,U142,06-05-2021,Expense,food,6502,card,jaipur,Shopping
T4072,U067,07-11-2021,Expense,,6902,Crd,DELHI,Petrol
T8303,U091,05-05-2024,Expense,Food,,Bank Transfr,KOL,xyz123
T9115,U060,21-04-2022,Expense,Entertainment,9939,Bank Transfer,pune,
T2668,U126,12/30/2022,Expense,RENT,1518,Bank Transfer,LUC,Electricity bill
T1256,U035,06-03-2021,Expense,Traval,2985,csh,Delhi,Restaurant dinner
T7219,U002,28-06-2024,Expense,Educaton,3150,Bank Transfr,ahmedabad,
T7845,U014,27-12-2024,Expense,utilities,6671,UPi,ahmedabad,Doctor consultation
T4986,U124,04-07-2023,Expense,Traval,1409,upi,chennai,xyz123
T1883,U047,07/20/2024,Expense,EDU,2497,Bank Transfr,KOL,!!!
T7034,U108,03/24/2021,Expense,Utility,6324,Crd,Chennai,Gym membership
T11835,U125,04-12-2022,Expense,education,$7315,Bank Transfr,jaipur,N/A
T0231,U031,02-08-2023,Expense,Utlities,7080,Bank_Transfer,kolkata,test
T2017,U090,14-01-2022,Expense,Utility,7821,CASH,PUN,test
T9479,U114,14-08-2021,Expense,rent,₹988,upi,,Restaurant dinner
T1312,U070,12/15/2022,Income,Freelance,23504,bank transfer,HYDERABAD,Electricity bill
T0010,U017,04/19/2024,Expense,,1064,csh,AHM,Books
T11433,U083,10-12-2021,Expense,food,2683,Csh,DELHI,xyz123
T4446,U017,11/30/2023,Expense,food,5022,Cash,Hyderabad,Internet bill
T2782,U093,01-04-2021,Expense,FOOD,₹7849,,Pune,Petrol
T11291,U040,10-06-2024,Income,Bonus,33565,Csh,HYDERABAD,Gym membership
T6224,U092,11-04-2024,Income,Salary,66678,Bank Transfr,Chennai,EMI payment
T4124,U119,03-05-2024,Expense,education,6304,UPI,PUNE,Fixed deposit
T10115,U091,23-02-2022,Income,Freelance,50009,Bank Transfer,PUNE,
T3531,U134,08-07-2021,Expense,food,5811,Bank Transfer,Pune,
T1066,U057,05-02-2023,Expense,Entertainment,₹7713,upi,pune,Monthly rent payment
T9037,U142,12/19/2022,Income,Salary,70693,csh,AHMEDABAD,
T12498,U012,20-03-2024,Expense,Helth,2603,cash,Kolkata,Monthly rent payment
T6556,U037,12/22/2023,Expense,Foods,314,CASH,MUM,Train ticket
T4233,U089,30-10-2024,Expense,Education,9806,Bank_Transfer,CHENNAI,Petrol
T1925,U060,04-02-2023,Expense,Foodd,3762,BankTransfer,HYD,
T9678,U092,03/15/2021,Expense,travel,9891,UPi,,Grocery shopping
T3468,U143,08-09-2024,Expense,Health,6869,Crd,Jaipur,asdfgh
T2217,U113,02-04-2023,Expense,Rnt,$6756,Bank_Transfer,PUN,
T7901,U028,07-09-2021,Expense,entertainment,356,BankTransfer,jaipur,
T9324,U093,03-10-2021,Income,Others,20156,cash,Pune,
T6515,U121,16-03-2024,Expense,health,$3790,Crd,AHM,...
T3401,U071,10-07-2021,Expense,,6766,CARD,BANGALORE,Gym membership
T2246,U061,04-01-2021,Expense,Foods,3765,bank transfer,Chennai,Fixed deposit
T10375,U013,06-08-2023,Income,Freelance,,Bank Transfer,DELHI,Electricity bill
T7960,U028,25-07-2021,Expense,Entertainment,4638,card,N/A,!!!
T13793,U141,09/23/2021,Income,Freelance,11650,csh,HYD,!!!
T7316,U144,22-02-2024,Expense,Utilties,5790,,PUN,misc
T4875,U076,06/16/2024,Expense,Rentt,12435,UPi,Lucknow,
T1216,U042,31-01-2022,Income,Investment,31183,Bank Transfer,Jaipur,Shopping
T11898,U035,13-04-2023,Expense,Food,775,UPi,,Monthly rent payment
T3071,U139,11-03-2021,Expense,entertainment,$8230,Bank_Transfer,lucknow,EMI payment
T12468,U043,12/14/2024,Expense,Rnt,₹5582,UPI,AHMEDABAD,Monthly rent payment
T5511,U114,04/20/2024,Expense,Fod,5918,bank transfer,Pune,
T5607,U093,02-05-2024,Income,Investment,73830,UPi,PUNE,xyz123
T9770,U040,02/21/2021,Expense,Rent,23340,CRD,lucknow,Doctor consultation
T11278,U009,19-07-2022,Expense,Rentt,40813,Upi,delhi,Books
T10427,U077,31-12-2024,Expense,Utlities,₹3414,Upi,pune,test
T1377,U044,31-03-2022,Expense,Food,2033,UPI,MUMBAI,EMI payment
T2469,U038,11/30/2023,Income,Bonus,44932,Bank Transfr,KOL,Lunch
T6621,U104,14-08-2022,Expense,FOOD,999999,CASH,Jaipur,xyz123
T7679,U079,03-05-2024,Expense,Education,₹2274,cash,HYDERABAD,Grocery shopping
T8635,U039,28-02-2023,Expense,travel,330,Bank Transfer,chennai,
T4874,U123,30-12-2024,Expense,travel,8592,Csh,PUN,Lunch
T3143,U025,01-05-2023,Expense,rent,Rs.6779,csh,Delhi,Monthly rent payment
T13475,U033,01-12-2022,Income,Investment,29235,bank transfer,,xyz123
T8560,U023,04-02-2023,Expense,Health,2143,Card,delhi,asdfgh
T8417,U089,17-05-2022,Expense,Foods,4945,CRD,ahmedabad,test
T8379,U106,16-10-2021,Expense,Entertainment,8152,Upi,DELHI,Uber ride
T13913,U006,12-07-2022,Expense,Other,7300,Bank_Transfer,pune,!!!
T11359,U135,04-06-2024,Expense,Foods,4603,bank transfer,AHMEDABAD,EMI payment
T8916,U035,13-10-2022,Expense,Entrtnmnt,$4719,card,MUM,Coffee
T5752,U112,12-05-2022,Expense,Rent,27792,bank transfer,PUN,Doctor consultation
T11316,U053,06-10-2022,Expense,TRAVEL,6691,card,HYD,Doctor consultation
T4377,U065,05-04-2022,Expense,RENT,5935,Bank Transfr,HYD,Coffee
T10191,U150,02/26/2024,Expense,TRAVEL,₹9750,UPI,mumbai,ATM withdrawal
T10267,U128,19-10-2021,Expense,RENT,6484,Upi,JAI,Fixed deposit
T10019,U029,18-02-2024,Expense,entertainment,2398,bank transfer,LUC,Medicine
T1053,U081,25-08-2021,Expense,Food,₹498,Csh,delhi,Coffee
T2960,U124,05-09-2022,Expense,Rent,Rs.35588,CASH,JAIPUR,Grocery shopping
T5402,U053,02-11-2021,Income,Others,$13131,CARD,Lucknow,Fixed deposit
T1989,U027,06-08-2024,Expense,Health,$6321,Cash,AHM,ATM withdrawal
T7284,U114,08/30/2023,Expense,Rent,28207,BankTransfer,,Fixed deposit
T11284,U125,24-06-2023,Expense,TRAVEL,,Crd,CHE,Train ticket
T1195,U102,08-06-2023,Expense,Rentt,10749,Cash,lucknow,Uber ride
T6008,U053,21-05-2023,Expense,Foodd,2232,,PUN,Books
T11465,U149,03/30/2022,Expense,SAVINGS,8161,CARD,Bangalore,Restaurant dinner
T8940,U088,05-11-2024,Expense,,3825,CASH,Bangalore,
T2577,U075,13-07-2022,Expense,Utilities,4923,bank transfer,MUMBAI,
T6064,U104,04-11-2023,Expense,Food,Rs.1078,Bank_Transfer,DELHI,
T1619,U053,16-02-2021,Income,Investment,₹74630,BankTransfer,AHM,
T1405,U109,02-12-2022,Income,Freelance,14180,Cash,mumbai,Online course
T0352,U149,11-08-2024,Expense,utilities,8479,UPi,Bangalore,Monthly rent payment
T5467,U104,05-11-2023,Expense,food,5292,Bank_Transfer,hyderabad,Gym membership
T10397,U013,10/20/2022,Expense,TRAVEL,3942,Bank_Transfer,Lucknow,!!!
T3306,U065,22-07-2022,Expense,entertainment,2923 INR,Bank Transfer,Delhi,Doctor consultation
T12923,U075,09-01-2023,Expense,entertainment,8943,Crd,Pune,Monthly rent payment
T2497,U149,22-11-2022,Expense,utilities,3159,CARD,DELHI,ATM withdrawal
T12309,U024,18-12-2023,Expense,Rent,12484,CRD,BAN,
T6608,U081,04-06-2023,Expense,rent,4331,Csh,HYDERABAD,Train ticket
T4870,U014,04-10-2024,Expense,Rnt,9348,bank transfer,JAIPUR,N/A
T12187,U060,06/26/2024,Expense,FOOD,8174,bank transfer,Pune,
T13685,U047,03-08-2021,Income,Investment,74243,Cash,JAIPUR,Shopping
T6605,U124,17-10-2023,Expense,FOOD,8640,cash,Jaipur,Coffee
T3940,U085,25-06-2021,Expense,food,9784,Crd,JAIPUR,Uber ride
T12289,U001,26-12-2021,Expense,Rentt,45093,CRD,PUN,Electricity bill
T12849,U049,04/21/2021,Expense,FOOD,2130,UPI,lucknow,Restaurant dinner
T6257,U036,21-02-2023,Expense,Food,4816,UPi,PUN,Lunch
T3936,U039,10-05-2023,Expense,food,2247,card,chennai,Uber ride
T10279,U087,13-03-2021,Income,Freelance,46587,CRD,LUCKNOW,asdfgh
T11375,U060,,Expense,Entertainment,₹6699,Csh,Lucknow,Internet bill
T2772,U093,,Expense,Travel,3345,BankTransfer,,xyz123
T0177,U038,13-06-2022,Expense,Others,6610,csh,PUNE,Restaurant dinner
T3986,U077,20-12-2024,Expense,travel,₹4692,upi,jaipur,Fixed deposit
T2217,U113,02-04-2023,Expense,Rnt,$6756,Bank_Transfer,PUN,
T3810,U004,02-03-2021,Expense,Educaton,5305,bank transfer,CHE,Restaurant dinner
T7155,U060,08/14/2022,Income,Bonus,67675,Bank Transfer,BANGALORE,
T8163,U016,29-03-2021,Expense,Entertain,7845,csh,DEL,asdfgh
T7044,U049,18-05-2022,Expense,Entertainment,7183,cash,,Shopping
T3840,U144,23-08-2022,Expense,Utilties,6908,Card,BAN,
T3774,U020,08-09-2023,Expense,Rentt,47146,card,Delhi,
T3961,U111,15-07-2024,Expense,HEALTH,5749,csh,pune,Internet bill
T13582,U133,26-10-2021,Expense,Entrtnmnt,5542,CARD,Kolkata,Petrol
T11104,U121,14-09-2022,Expense,travel,3429,card,MUM,Lunch
T8714,U065,23-06-2021,Expense,Entertain,237,Bank Transfer,JAIPUR,Petrol
T2709,U138,18-08-2022,Expense,SAVINGS,8231,UPI,CHENNAI,Lunch
T2156,U018,11-05-2022,Expense,Utlities,Rs.9859,UPI,kolkata,EMI payment
T8551,U065,20-03-2024,Expense,utilities,2288,UPI,Kolkata,
T10622,U030,26-01-2022,Expense,Travel,5756,Bank_Transfer,HYD,ATM withdrawal
T9673,U145,10/31/2021,Expense,Rentt,Rs.28183,Upi,Delhi,...
T8967,U125,16-03-2023,Income,Others,41720,Bank_Transfer,pune,Doctor consultation
T11141,U098,10-07-2024,Expense,rent,7335,Bank Transfer,CHENNAI,!!!
T4430,U147,04-10-2024,Expense,RENT,287,CARD,HYDERABAD,Restaurant dinner
T11810,U060,12/30/2021,Income,Others,57828,UPI,ahmedabad,Shopping
T10574,U061,28-10-2021,Expense,Education,₹9601,,kolkata,Uber ride
T9406,U131,12-08-2021,Expense,Entertainment,2186,CRD,Bangalore,Online course
T2288,U143,14-06-2021,Expense,Entrtnmnt,8093,CARD,lucknow,asdfgh
T1733,U080,05-03-2023,Expense,Travel,2272,Bank Transfer,HYD,Gym membership
T13220,U140,02-05-2024,Expense,Foodd,4549,Csh,CHENNAI,ATM withdrawal
T9379,U106,26-11-2021,Expense,Rent,21603,csh,JAIPUR,Petrol
T0617,U046,22-01-2021,Expense,Fod,1641,csh,kolkata,
T13759,U109,27-12-2021,Expense,Educaton,7941,Upi,CHENNAI,test
T0147,U114,27-06-2021,Expense,Travl,$7135,cash,LUCKNOW,ATM withdrawal
T4332,U089,21-11-2023,Expense,FOOD,4265,UPi,hyderabad,
T12052,U046,09-09-2023,Expense,savings,8634,Bank Transfer,LUC,Gym membership
T4585,U003,21-05-2024,Expense,Entertain,1006,Upi,hyderabad,Medicine
T0859,U132,27-10-2024,Expense,TRAVEL,475,BankTransfer,DEL,
T6964,U028,16-04-2022,Expense,Saving,,CASH,DEL,Train ticket
T5011,U129,16-07-2022,Expense,TRAVEL,₹6799,CARD,Bangalore,Restaurant dinner
T13370,U046,23-09-2021,Expense,Health,,CARD,Delhi,Movie tickets
T1330,U108,21-03-2022,Expense,rent,₹1564,,,Doctor consultation
T4361,U008,19-03-2023,Expense,education,1002 INR,Bank_Transfer,AHMEDABAD,N/A
T7760,U089,11-05-2024,Expense,Rent,46614,Bank Transfr,LUC,...
T7501,U047,01-12-2021,Expense,Food,4005,cash,kolkata,Monthly rent payment
T13770,U147,,Expense,Foods,651,Bank_Transfer,CHE,Coffee
T10853,U083,28-04-2023,Expense,Travel,$4601,Upi,PUN,Medicine
T5130,U075,10-09-2021,Expense,Rent,₹46896,UPI,delhi,Lunch
T12558,U124,01/13/2021,Expense,Rentt,,Csh,Chennai,...
T4248,U058,21-03-2022,Income,Salary,78532,Bank_Transfer,kolkata,misc
T5305,U046,01/16/2023,Income,Bonus,178518,Bank Transfr,pune,Shopping
T6784,U022,12-01-2021,Expense,Fod,8687,,BANGALORE,Coffee
T1468,U139,07-12-2022,Income,Freelance,57170,UPi,DEL,Movie tickets
T5253,U075,07-08-2021,Expense,FOOD,7235,Crd,BAN,test
T6241,U037,04-07-2022,Expense,TRAVEL,9675,csh,MUM,Restaurant dinner
T4458,U075,04/21/2022,Expense,Food,4895,UPi,AHM,Fixed deposit
T4529,U064,31-01-2024,Income,Bonus,21355,Bank_Transfer,JAI,EMI payment
T5154,U072,11-03-2024,Income,Others,₹13183,upi,CHENNAI,Books
T10901,U086,12-07-2022,Expense,Traval,₹9364,UPI,DELHI,EMI payment
T12719,U019,18-05-2021,Expense,FOOD,$5042,cash,JAI,EMI payment
T6988,U044,10-07-2023,Expense,Rnt,2824,UPI,AHM,Doctor consultation
T2128,U126,18-10-2023,Expense,HEALTH,₹9979,upi,HYD,Internet bill
T1182,U023,20-09-2024,Expense,Health,8548,,BAN,ATM withdrawal
T4182,U117,03-03-2023,Expense,Food,700,Bank Transfr,PUN,Gym membership
T4082,U138,07/23/2021,Expense,food,Rs.6556,Upi,mumbai,
T8735,U023,12-07-2023,Expense,FOOD,8641 INR,Card,HYDERABAD,N/A
T8123,U020,15-05-2023,Expense,RENT,5988,Bank Transfer,MUM,Movie tickets
T7895,U117,23-08-2024,Expense,Utlities,6348,card,Chennai,!!!
T8735,U113,15-05-2021,Expense,Rnt,5549,UPi,,Fixed deposit
T10792,U053,15-07-2022,Expense,Rent,44898,cash,Chennai,Coffee
T8838,U010,16-07-2023,Expense,RENT,3221,Upi,DEL,ATM withdrawal
T1044,U075,06-05-2021,Expense,food,₹1810,Card,KOL,Internet bill
T8602,U097,12-07-2024,Expense,RENT,$9944,UPI,DEL,misc
T7931,U085,12-08-2021,Expense,travel,1037,CASH,BANGALORE,Electricity bill
T13820,U148,10/16/2023,Expense,utilities,6278,BankTransfer,HYD,
T0241,U148,13-12-2023,Expense,TRAVEL,$2963,UPI,,xyz123
T9531,U149,06/15/2021,Expense,Utilities,999,csh,CHENNAI,Fixed deposit
T1003,U064,08-11-2022,Income,Investment,43737,UPI,LUCKNOW,Internet bill
T5549,U114,30-01-2021,Expense,Rent,45894,Bank Transfr,MUM,Petrol
T13844,U006,29-05-2024,Expense,Travl,₹7040,UPi,JAIPUR,Uber ride
